FacilityTypeMapID,FacilityID,FacilityTypeID,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,IsDeleted
353,251,103,101,2018-09-11 14:27:05.859104+05:30,101,2018-09-11 14:27:05.859104+05:30,t
350,250,101,101,2018-09-11 14:26:29.007228+05:30,101,2018-09-11 14:28:21.15535+05:30,t
348,249,101,101,2018-09-11 12:26:59.829427+05:30,101,2018-09-11 14:28:26.314836+05:30,t
356,253,103,101,2018-09-14 11:03:40.83949+05:30,101,2018-09-14 11:03:40.83949+05:30,t
357,254,103,101,2018-09-14 11:04:26.669832+05:30,101,2018-09-14 11:04:26.669832+05:30,f
287,215,103,101,2018-08-23 15:20:57.181872+05:30,101,2018-08-23 15:20:57.181872+05:30,t
286,214,103,101,2018-08-23 15:20:17.075813+05:30,101,2018-08-23 15:20:17.075813+05:30,t
304,225,103,101,2018-08-31 10:25:16.623926+05:30,101,2018-08-31 10:25:16.623926+05:30,f
305,226,103,101,2018-08-31 10:26:33.126165+05:30,101,2018-08-31 10:26:33.126165+05:30,f
285,213,103,101,2018-08-23 15:19:11.766108+05:30,101,2018-08-23 15:19:11.766108+05:30,t
354,252,103,101,2018-09-11 14:27:39.800304+05:30,101,2018-09-11 14:27:39.800304+05:30,t
337,243,103,101,2018-09-03 15:52:08.108068+05:30,101,2018-09-03 15:52:08.108068+05:30,f
358,255,101,101,2018-09-18 18:20:52.625204+05:30,101,2018-09-18 18:20:52.625204+05:30,f
359,255,103,101,2018-09-18 18:20:52.625204+05:30,101,2018-09-18 18:20:52.625204+05:30,t
360,256,101,101,2018-11-29 12:56:04.878711+05:30,101,2018-11-29 12:56:04.878711+05:30,f
363,257,103,101,2018-11-29 13:16:02.567717+05:30,101,2018-11-29 13:16:02.567717+05:30,t
365,259,101,101,2018-11-29 14:20:21.964243+05:30,101,2018-11-29 14:20:21.964243+05:30,f
366,259,103,101,2018-11-29 14:20:21.964243+05:30,101,2018-11-29 14:20:21.964243+05:30,t
367,260,101,101,2018-12-04 13:13:08.926635+05:30,101,2018-12-04 13:13:08.926635+05:30,f
368,260,103,101,2018-12-04 13:13:08.926635+05:30,101,2018-12-04 13:13:08.926635+05:30,t
369,261,101,101,2018-12-05 16:01:14.04696+05:30,101,2018-12-05 16:01:14.04696+05:30,f
370,261,103,101,2018-12-05 16:01:14.04696+05:30,101,2018-12-05 16:01:14.04696+05:30,t
371,262,102,101,2018-12-05 16:04:09.34639+05:30,101,2018-12-05 16:04:09.34639+05:30,f
361,256,103,101,2018-11-29 12:56:04.878711+05:30,101,2018-11-29 12:56:04.878711+05:30,t
372,262,103,101,2018-12-05 16:04:09.34639+05:30,101,2018-12-05 16:04:09.34639+05:30,t
373,263,103,101,2018-12-05 16:09:20.488942+05:30,101,2018-12-05 16:09:20.488942+05:30,t
374,264,101,101,2018-12-05 16:31:13.312635+05:30,101,2018-12-05 16:31:13.312635+05:30,f
375,264,103,101,2018-12-05 16:31:13.312635+05:30,101,2018-12-05 16:31:13.312635+05:30,t
376,265,101,101,2018-12-05 17:30:48.917432+05:30,101,2018-12-05 17:30:48.917432+05:30,f
378,266,102,101,2018-12-05 17:51:20.457526+05:30,101,2018-12-05 17:51:20.457526+05:30,f
379,266,103,101,2018-12-05 17:51:20.457526+05:30,101,2018-12-05 17:51:20.457526+05:30,t
380,267,103,101,2018-12-05 17:58:34.774637+05:30,101,2018-12-05 17:58:34.774637+05:30,f
377,265,103,101,2018-12-05 17:30:48.917432+05:30,101,2018-12-05 17:30:48.917432+05:30,t
364,258,103,101,2018-11-29 13:16:37.932546+05:30,101,2018-11-29 13:16:37.932546+05:30,t
362,257,102,101,2018-11-29 13:16:02.567717+05:30,101,2019-01-10 17:15:21.486225+05:30,t
381,268,101,101,2019-01-22 14:26:42.938668+05:30,101,2019-01-22 14:26:42.938668+05:30,f
382,268,103,101,2019-01-22 14:26:42.938668+05:30,101,2019-01-22 14:26:42.938668+05:30,t
383,269,102,101,2019-01-28 12:32:42.719192+05:30,101,2019-01-28 12:32:42.719192+05:30,f
384,269,103,101,2019-01-28 12:32:42.719192+05:30,101,2019-01-28 12:32:42.719192+05:30,t
385,270,103,101,2019-01-28 12:37:06.686232+05:30,101,2019-01-28 12:37:06.686232+05:30,f
387,271,103,101,2019-02-07 15:22:08.161345+05:30,101,2019-02-07 15:22:08.161345+05:30,t
389,272,103,101,2019-02-07 18:28:46.313893+05:30,101,2019-02-07 18:28:46.313893+05:30,t
388,272,101,101,2019-02-07 18:28:46.313893+05:30,101,2019-02-07 18:29:48.023126+05:30,t
390,273,102,101,2019-02-07 18:33:34.211742+05:30,101,2019-02-07 18:33:34.211742+05:30,f
391,273,103,101,2019-02-07 18:33:34.211742+05:30,101,2019-02-07 18:33:34.211742+05:30,t
260,198,102,101,2018-06-01 18:05:18.867096+05:30,101,2019-02-07 18:33:43.266212+05:30,t
392,274,101,101,2019-02-08 05:48:55.496963+05:30,101,2019-02-08 05:48:55.496963+05:30,f
393,274,103,101,2019-02-08 05:48:55.496963+05:30,101,2019-02-08 05:48:55.496963+05:30,t
395,276,103,101,2019-02-08 15:55:31.21037+05:30,101,2019-02-08 15:55:31.21037+05:30,t
394,275,103,101,2019-02-08 14:04:11.733508+05:30,101,2019-02-08 14:04:11.733508+05:30,t
386,271,101,101,2019-02-07 15:22:08.161345+05:30,101,2019-02-08 16:33:46.754477+05:30,t
397,277,103,101,2019-02-08 16:36:42.593735+05:30,101,2019-02-08 16:36:42.593735+05:30,t
396,277,101,101,2019-02-08 16:36:42.593735+05:30,101,2019-02-08 16:53:03.07941+05:30,t
399,278,103,101,2019-02-09 11:30:22.923039+05:30,101,2019-02-09 11:30:22.923039+05:30,t
398,278,101,101,2019-02-09 11:30:22.923039+05:30,101,2019-02-09 12:11:27.92503+05:30,t
401,279,103,101,2019-02-09 12:12:51.687699+05:30,101,2019-02-09 12:12:51.687699+05:30,t
400,279,101,101,2019-02-09 12:12:51.687699+05:30,101,2019-02-09 12:14:12.191012+05:30,t
296,220,103,101,2018-08-28 17:19:18.258866+05:30,101,2018-08-28 17:19:18.258866+05:30,t
402,280,101,101,2019-02-11 04:46:39.86005+05:30,101,2019-02-11 04:46:39.86005+05:30,f
405,281,103,101,2019-02-11 06:02:04.410656+05:30,101,2019-02-11 06:02:04.410656+05:30,t
404,281,102,101,2019-02-11 06:02:04.410656+05:30,101,2019-02-11 06:10:52.513211+05:30,t
406,282,102,101,2019-02-11 06:20:27.653522+05:30,101,2019-02-11 06:20:27.653522+05:30,f
407,282,103,101,2019-02-11 06:20:27.653522+05:30,101,2019-02-11 06:20:27.653522+05:30,t
